"AES","Kilroot","coal/oil",600,1981,"Northern Ireland"
"Ardrossan Windfarm","Ardrossan","wind",24,2004,"Scotland"
"Ardrossan Windfarm","Ardrossan Extension","wind",6,2008,"Scotland"
"Baglan Generation Ltd","Baglan Bay","gas turbine",575,2002,"Wales"
"Barking Power","Barking","CCGT",1000,1994,"London"
"Beaufort Wind Ltd","Bears Down","wind  ",10,2001,"South West"
"Beaufort Wind Ltd","Bein Ghlas","wind",8,1999,"Scotland"
"Beaufort Wind Ltd","Bryn Titli","wind",10,1994,"Wales"
"Beaufort Wind Ltd","Carno","wind",34,1996,"Wales"
"Beaufort Wind Ltd","Causeymire","wind   ",48,2004,"Scotland"
"Beaufort Wind Ltd","Kirkby Moor","wind",5,1993,"North West"
"Beaufort Wind Ltd","Lambrigg","wind",7,2000,"North West"
"Beaufort Wind Ltd","Llyn Alaw","wind",20,1997,"Wales"
"Beaufort Wind Ltd","Mynydd Gorddu","wind",10,1996,"Wales"
"Beaufort Wind Ltd","Novar","wind",17,1997,"Scotland"
"Beaufort Wind Ltd","Taff Ely","wind",9,1993,"Wales"
"Beaufort Wind Ltd","Tow Law","wind",2,2001,"North East"
"Beaufort Wind Ltd","Trysglwyn","wind",6,1996,"Wales"
"Beaufort Wind Ltd","Windy Standard","wind  ",22,1996,"Scotland"
"Beaufort Wind Ltd","North Hoyle","wind (offshore)",60,2003,"Wales"
"Beaufort Wind Ltd","Farr","wind  ",92,2006,"Scotland"
"Beaufort Wind Ltd","Ffynnon Oer","wind  ",32,2006,"Wales"
"Braes of Doune Windfarm","Braes of Doune","wind",72,2006,"Scotland"
"British Energy","Dungeness B","nuclear",1040,1983,"South East"
"British Energy","Hartlepool","nuclear",1190,1984,"North East"
"British Energy","Heysham1","nuclear",1160,1984,"North West"
"British Energy","Heysham 2","nuclear",1240,1988,"North West"
"British Energy","Hinkley Point B","nuclear",840,1976,"South West"
"British Energy","Sizewell B","nuclear",1188,1995,"East"
"British Energy","Hunterston B","nuclear",860,1976,"Scotland"
"British Energy","Torness","nuclear",1205,1988,"Scotland"
"British Energy","Eggborough","coal",1960,1967,"Yorkshire and the Humber"
"British Energy","Aberdare District Energy","gas",10,2002,"Wales"
"British Energy","Bridgewater District Energy","gas",10,2000,"South West"
"British Energy","Sevington District Energy","gas",10,2000,"South East"
"British Energy","Solutia District Energy","gas",10,2000,"Wales"
"Cemmaes Windfarm Ltd","Cemmaes","wind",15,2002,"Wales"
"Centrica","Barry","CCGT",230,1998,"Wales"
"Centrica","Glanford Brigg","CCGT",260,1993,"Yorkshire and the Humber the Humber"
"Centrica","Killingholme","CCGT",665,1994,"  the Humber"
"Centrica","Kings Lynn","CCGT",340,1996,"East"
"Centrica","Peterborough ","CCGT",405,1993,"East"
"Centrica","Roosecote","CCGT",229,1991,"North West"
"Centrica","South Humber Bank ","CCGT",1285,1996,"Yorkshire and the Humber"
"Centrica","Glens of Foudland","wind",26,2005,"Scotland"
"Centrica","Barrow Offshore Windfarm","wind (offshore)",90,2006,"North West"
"Citigen (London)  UK Ltd","Charterhouse St, London","gas/gas oil CHP",16,1995,"London"
"Cold Northcott Windfarm Ltd","Cold Northcott","wind",7,1993,"South West"
"Coolkeeragh ESB Ltd","Coolkeeragh","CCGT",408,2005,"Northern Ireland"
"Corby Power Ltd","Corby","CCGT",401,1993,"East Midlands"
"Coryton Energy Company Ltd","Coryton ","CCGT",732,2001,"East"
"Derwent Cogeneration","Derwent","gas CHP",214,1994,"East Midlands"
"Drax Power Ltd","Drax","coal",3870,1974,"Yorkshire and the Humber"
"Drax Power Ltd","Drax GT","gas oil",75,1971,"  the Humber"
"EDF Energy","Sutton Bridge","CCGT",803,1999,"East"
"EDF Energy","Cottam","coal",2008,1969,"East Midlands"
"EDF Energy","West Burton","coal",2012,1967,"East Midlands"
"EDF Energy","West Burton GT","gas oil",40,1967,"East Midlands"
"EDF Energy","Thames Valley Power","Gas/Gas oil CHP",15,1995,"London"
"EDF Energy","London Heat & Power Company (Imperial College)","gas CHP",9,2000,"London"
"EDF Energy","Barkantine Heat & Power Company ","Gas CHP",1.4,2000,"London"
"EDF Energy Renewables","Bicker Fen","wind",26,2008,"East Midlands"
"EDF Energy Renewables","Walkaway","wind",14,2008,"North East"
"EPR Ely Limited","Elean","straw/gas",38,2001,"East"
"EPR Glanford Ltd","Glanford","meat & bone ",13,1993,"East"
"EPR Eye Ltd","Eye, Suffolk","AWDF",13,1992,"East"
"EPR Thetford Ltd","Thetford","poultry litter",39,1998,"East"
"EPR Scotland Ltd","Westfield","poultry litter",12,2000,"Scotland"
"E.On UK","Kingsnorth","coal/oil",1940,1970,"South East"
"E.On UK","Ironbridge","coal",970,1970,"West Midlands"
"E.On UK","Ratcliffe","coal",2000,1968,"East Midlands"
"E.On UK","Grain ","oil",1300,1979,"South East"
"E.On UK","Grain GT","gas oil",55,1978,"South East"
"E.On UK","Kingsnorth GT","gas oil",34,1967,"South East"
"E.On UK","Ratcliffe GT","gas oil",34,1966,"East Midlands"
"E.On UK","Taylor's Lane GT","gas oil",132,1979,"London"
"E.On UK","Connahs Quay","CCGT",1380,1996,"Wales"
"E.On UK","Cottam Development Centre","CCGT",400,1999,"East Midlands"
"E.On UK","Enfield","CCGT",392,1999,"London"
"E.On UK","Killingholme","CCGT",900,1993,"Yorkshire and the Humber"
"E.On UK","Sandbach","CCGT",56,1999,"North West"
"E.On UK","Castleford","CCGT",56,2002,"Yorkshire and the Humber"
"E.On UK","Thornhill","CCGT",50,1998,"Yorkshire and the Humber"
"E.On UK","Steven's Croft","biomass",44,2007,"Scotland"
"E.On UK","Rheidol","hydro",49,1961,"Wales"
"E.On UK","Askam","wind",4.62,1999,"North West"
"E.On UK","Bessy Bell","wind",5,1995,"Northern Ireland"
"E.On UK","Blood Hill","wind",2.25,1992,"East"
"E.On UK","Bowbeat","wind",31.2,2002,"Scotland"
"E.On UK","Deucheran Hill","wind",15.75,2001,"Scotland"
"E.On UK","Hare Hill","wind",5.1,2004,"North East"
"E.On UK","High Volts","wind",7.8,2004,"North East"
"E.On UK","Holmside","wind",5.1,2004,"North East"
"E.On UK","Lowca","wind",4.62,2000,"North West"
"E.On UK","Oldside","wind",5.4,1996,"North West"
"E.On UK","Out Newton","wind",9.1,2002,"Yorkshire and the Humber"
"E.On UK","Rheidol","wind",2,1997,"Wales"
"E.On UK","Scroby Sands","wind (offshore)",60,2005,"East"
"E.On UK","Siddick","wind",4.2,1996,"North West"
"E.On UK","St Breock","wind",4.95,1994,"South West"
"E.On UK","Stags Holt ","wind",18,2007,"East"
"E.On UK","Rhyd-y-Groes","wind",7,1992,"Wales"
"E.On UK","Blyth Offshore","wind (offshore)",4,2000,"North East"
"Fenland Windfarms Ltd","Deeping","wind",16,2006,"East Midlands"
